id,x,z,v,alpha,t_period,l1_r,l2_r,l3_r,l4_r,l5_r,l6_r,l1_im,l2_im,l3_im,l4_im,l5_im,l6_im,ax,ay,az,dist_primary,dist_secondary,dist_curve,cj,stable,stability_order
25,379842.83905999287,1651.3228550851054,-2.427840555050403,-1.671418374196622,8.478394553640141,-5.525440231516148,2.341495294244777,-0.1809776487035259,0.4270988387912477,0.9999688995706107,1,0.0,0.0,0.0,0.0,0.0,0,21009.966026519658,31157.25114223522,98782.12733468955,376259.62725930545,1655.4189115709705,0.001066597294484909,2.976167457224454,False,0
26,379845.35035655054,1676.196403074862,-2.4094696695956577,-1.6718950338145808,8.456114038531584,-5.536696398375675,2.33322305991824,-0.1806101062196639,0.4286110145234295,0.99997157414956,1,0.0,0.0,0.0,0.0,0.0,0,21014.202513392025,31266.98053065036,98434.70040812281,376162.0233240374,1680.407636598956,0.0011316337148802897,2.9769560516877247,False,0
27,379847.87351199874,1701.0687509050458,-2.391503852852627,-1.6723548602964824,8.434675791835492,-5.545458888990229,2.324521914337246,-0.1803277260662042,0.4301959976683703,0.999999984674718,1,0.0,0.0,0.0,0.0,0.0,0,21021.33795438637,31380.179142957357,98100.70891888361,376065.4160712892,1705.3963392581256,0.0011966701352757797,2.977713943967534,False,0
28,379847.87351199874,1701.0687509050458,-2.391503852852627,-1.6723548602964824,8.434675791835492,-5.545458888990229,2.324521914337246,-0.1803277260662042,0.4301959976683703,0.999999984674718,1,0.0,0.0,0.0,0.0,0.0,0,21021.33795438637,31380.179142957357,98100.70891888361,376065.4160712892,1705.3963392581256,0.0011966701352757797,2.977713943967534,False,0
29,379849.3942726301,1715.9914613526191,-2.3809124778689448,-1.7721852610799536,8.42217306141437,-5.54343632352684,2.326190201073185,-0.1801029235528515,0.4318214902041704,0.9971275148088647,1,0.0,0.0,0.0,0.0,0.0,0,21026.804052785737,31447.705208568874,97906.08842815683,376007.9428007303,1720.3895126718355,0.001235691987513043,2.9781555093803966,False,0
30,379852.4294131661,1745.6882666607023,-2.360241101196895,-1.6731086444551186,8.39819239522111,-5.5559390080790525,2.3079990513207065,-0.1800027178082998,0.4331719298136307,1.0001555197954746,1,0.0,0.0,0.0,0.0,0.0,0,21040.75378344831,31585.18869740998,97532.77663762373,375894.49302945303,1750.2275210218065,0.0013133493874731054,2.9790021959231225,False,0
31,379853.9614218672,1760.6098265436449,-2.3500521446181946,-1.6731086444551186,8.386524114481226,-5.557659309747086,2.3028267255586803,-0.1799318627867484,0.4342489214919949,0.9999999856312368,1,0.0,0.0,0.0,0.0,0.0,0,21048.981524662464,31655.058496119887,97351.20554806785,375837.99438977597,1765.2207053559778,0.0013523712397104078,2.9794139183037114,False,0
32,379855.4934305682,1775.5313864265488,-2.3399925330902485,-1.6739177527941516,8.375191946027105,-5.57698610102646,2.276491716194423,-0.1801420313539051,0.4333627361882475,1.008945582425387,1,0.0,0.0,0.0,0.0,0.0,0,21058.383048223506,31725.365088517254,97174.68141957994,375781.7360201009,1780.2140045209749,0.0013913930919475762,2.979814028110474,False,0
33,379857.0375119251,1790.451701864348,-2.3300581236906748,-1.6739177527941516,8.363948381702617,-5.559991733166296,2.29159766426575,-0.1798563810882286,0.4363767860086226,0.9999999844235544,1,0.0,0.0,0.0,0.0,0.0,0,21067.852460642403,31794.692699094594,96999.8963034441,375725.9539249936,1795.207052590579,0.0014304149441848413,2.9802103188086173,False,0
34,379858.58159328194,1805.372017302147,-2.3202477184883366,-1.6741843956178286,8.353025099915774,-5.560363803364543,2.285929195310048,-0.1798443460247132,0.4374588793413373,0.9999999840164756,1,0.0,0.0,0.0,0.0,0.0,0,21078.423041196424,31865.289872575428,96829.88626332245,375670.4019598073,1810.2002158461055,0.0014694367964220943,2.980595618803064,False,0
35,379860.12965297885,1820.2919204913578,-2.3105582921163927,-1.674448739470482,8.34233572750968,-5.560256276162752,2.280235443154167,-0.1798478233726969,0.4385512194481086,0.9999999771696482,1,0.0,0.0,0.0,0.0,0.0,0,21089.708888431254,31937.0244204405,96663.47974195372,375615.15478222776,1825.1933716651417,0.0015084586486593977,2.9809726825965672,False,0
36,379861.6816566063,1835.2114139391908,-2.3009873680502784,-1.6747107888908208,8.3318737369346,-5.559703484814568,2.274523110399701,-0.1798657060411283,0.4396526101361831,0.9999999850171256,1,0.0,0.0,0.0,0.0,0.0,0,21101.680807273136,32008.51177754771,96500.56358467536,375560.20705815597,1840.1865202143874,0.0015474805008966197,2.9813417682807897,False,0
37,379863.2375698251,1850.130500173153,-2.2915325403756097,-1.6749705410793756,8.321632850128184,-5.558736731959434,2.2687986262398683,-0.179896987611842,0.4407619124816067,0.9999999854693942,1,0.0,0.0,0.0,0.0,0.0,0,21114.31101786153,32079.684867435208,96341.02948016995,375505.5536132369,1855.1796616716547,0.0015865023531339358,2.981703122858791,False,0
38,379864.79735825653,1865.0491817519257,-2.2821914712207954,-1.6752279993085135,8.311607027985403,-5.557385455870994,2.2630674710866967,-0.1799407295147308,0.4418781296369155,0.9999999855160284,1,0.0,0.0,0.0,0.0,0.0,0,21127.573077292007,32151.296119811574,96184.77371991011,375451.18942653446,1870.1727962285381,0.0016255242053711606,2.982056982801208,False,0
39,379866.3609875737,1879.9674612558713,-2.2729618882888527,-1.675483166559306,8.301790457843666,-5.555676985055968,2.257334576705076,-0.1799960644281334,0.4430003570229801,0.9999999840611092,1,0.0,0.0,0.0,0.0,0.0,0,21141.441798841115,32224.278925457907,96031.69693857357,375397.1096237038,1885.165924087507,0.0016645460576083528,2.9824035746456934,False,0
40,379867.9284234962,1894.8853412871854,-2.263841582505056,-1.6757360463267656,8.292177543069496,-5.553636488713414,2.251604525307047,-0.1800621979993946,0.4441277368545923,0.9999999848662794,1,0.0,0.0,0.0,0.0,0.0,0,21155.893180450716,32296.789200708023,95881.70388732999,375343.3094709228,1900.159045461615,0.0017035679098456014,2.982743115519999,False,0
41,379869.4996317987,1909.8028244687057,-2.254828405765928,-1.6759866421363672,8.282762892720719,-5.5512878181577126,2.2458811174718822,-0.1801383797588163,0.4452595528124363,0.9999999848616818,1,0.0,0.0,0.0,0.0,0.0,0,21170.904337073094,32368.76447710542,95734.703218391,375289.78436932893,1915.1521605738762,0.00174258976208292,2.983075813638842,False,0
42,379871.07457831054,1924.7199134436055,-2.2459202687867617,-1.6762349600279007,8.273541312206978,-5.548652671233909,2.2401681033253418,-0.1802239305034499,0.4463950806931037,0.9999999853345642,1,0.0,0.0,0.0,0.0,0.0,0,21186.45343816612,32441.940623240964,95590.607284995,375236.5298496203,1930.1452696568902,0.0017816116143201826,2.983401868764508,False,0
43,379872.6532289537,1939.6366108712027,-2.237115139039081,-1.6764810025436792,8.264507793822425,-5.545751722016343,2.234468509803947,-0.1803182045622409,0.4475337275452711,0.9999999852788308,1,0.0,0.0,0.0,0.0,0.0,0,21202.519648354966,32515.551056319004,95449.33194799707,375183.54156647157,1945.138372951488,0.0018206334665574154,2.9837214726522863,False,0
44,379874.235549691,1954.5529194321102,-2.228411038781436,-1.6767247810766748,8.255657508894501,-5.542603920348321,2.2287852578900083,-0.1804206123358473,0.4486749087541844,0.9999999845318772,1,0.0,0.0,0.0,0.0,0.0,0,21219.08307379496,32588.471306095802,95310.7964067324,375130.81529449363,1960.1314707079716,0.001859655318794656,2.984034809439107,False,0
45,379875.82150665706,1969.468841813976,-2.2198060431630076,-1.6769662950728688,8.246985798448867,-5.53922731046038,2.2231206868046343,-0.1805305930487318,0.4498181473323837,0.9999999800306169,1,0.0,0.0,0.0,0.0,0.0,0,21236.124708185205,32661.374399143533,95174.92301515756,375078.34692205366,1975.1245631817726,0.001898677171031908,2.98434205606638,False,0
